ИД;Количество комнат;Тип;Адрес;Площадь, м2;Жилая площадь, м2;Площадь кухни, м2;Планировка;Этаж;Дом;Год постройки;Год сдачи;Аварийность;Подъезды;Отопление;Газ;Перекрытия;Отделка;Парковка;Цена;Рыночная цена;Телефоны;Описание;Ремонт;Площадь комнат, м2;Балкон;Окна;Санузел;Есть телефон;Название ЖК;Серия дома;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
249388768;;Вторичка Апартаменты;Севастополь, р-н Гагаринский, мкр. Фиолент, Вилларис дель Мар коттеджный поселокНа карте;72 м;60 м;12 м;;1 из 3;Кирпичный;;;;;;;;;;7 650 000 ; ;+7 978 908-63-41;Желаете жить в уютных апартаментах, в окружении стильных, новых коттеджей? Тогда это предложение для Вас!В свое владение Вы приобретаете великолепные апартаменты, в 3х этажном доме на 1 этаже, расположенные в современном коттеджном поселке VillarisMar на мысе Фиолент.Свободная планировка, потолки 3м, окна с Видом на море. Участок 70м2 для отдыха и барбекю. Студия с землей и парковочным местом под автомобиль. Проведены свет, вода. Газ в перспективе.Налаженная и расширяющаяся инфраструктура.Документы РФ.Территория поселка имеет все необходимое для комфортного проживания в любое время года. Чистое, открытое море, удобный спуск к пляжу, охраняемая территория с видеонадблюдением, собственная стоянка для машин и развитая инфраструктура поселка. Возможна отделка под ключ.Возле входа на территорию находятся 2 автобусные остановки в обе стороны, 4 маршрута автобусов (3, 23, 24 маршруты) ходят каждые 5 минут. До ближайшего супермаркета Мetro -7 мин, до центра - 15 мин.Купить дом в Севастополе  это не только выгодное вложение средств, но и инвестиции в собственное здоровье. В районе мыса Фиолент находится наиболее чистый в экологическом плане участок крымского побережья. Уникальный климат этой местности оказывает благотворное влияние на организм человека, что позволит значительно улучшить состояние здоровья и даже продлить жизнь.Сделайте свой выбор и наслаждайтесь всеми радостями на берегу моря.Успейте купить дом своей мечты! Лот 27335;Без ремонта;;;;;;;;3 м;;;https://sevastopol.cian.ru/sale/flat/249388768/
244885484;;Вторичка;Севастополь, р-н Гагаринский, мкр. Летчики, просп. Октябрьской Революции, 40/6На карте;67 м;38,8 м;7,6 м;Изолированная;6 из 9;Панельный;1986;;Нет;3;Центральное;Центральное;Железобетонные;;Наземная;6 650 000 ;6 520 000 ;+7 978 736-21-42;"Продам  3х.комнаную квартиру в морском районе Пр-кт. Окт. Революции, общ.67/38,8/7,6, Две лоджии, середина дома, коридор 11м2, комнаты изолированные, окна квартиры на две стороны, СП, Эл/бойлер. Район с развитой инфраструктурой: Остановка, Пляж""Парк- Победы"" Пляж ""Омега"", Рынок, поликлиника, школа, детсад ТЦ_ в шаговой доступности";Косметический;;2 лоджии;;;;;;2,6 м;Есть;Есть;https://sevastopol.cian.ru/sale/flat/244885484/
239742692;;Новостройка;Севастополь, р-н Балаклавский, Севастопольская зона ЮБК квартал, 14Вс2На карте;46,6 м;32 м;;;2 из 9;;;4 кв. 2016;;;;;;;;7 763 767 ; ;+7 365 277-74-63;Продается студия, в сданном доме (Корпус 14В), общей площадью 46.60 кв.м., на 2 этаже.;;;1 балкон;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/239742692/
221465099;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 12На карте;100,9 м;56,7 м;15 м;;3 из 16;;;4 кв. 2016;;;;;;;;12 100 000 ; ;+7 869 277-72-39;"Продается 2-комнатная квартира, в сданном доме, общей площадью 100.90 кв.м., на 3 этаже. В непосредственной близости от комплекса расположен Парк Победы - живописный зеленый массив, с фонтанами и цветниками, где Вы можете спокойно отдохнуть под тенью раскидистых кленов и встретить среди крон деревьев почти ручных белок.

Каждая квартира будет оснащена:
- турбированным двухконтурным газовым котлом;
- разводкой отопления  радиаторами;
- разводкой электропроводки;
- водомером, газовым и электрическим счетчиками;
- цементно-песчаной стяжкой полов;
- финишной шпатлевкой;
- металлопластиковыми окнами;
- металлической входной дверью.

Для размещения личного транспорта в комплексе запроектирован подземный паркинг.";;;1 лоджия;;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/221465099/
245034863;;Новостройка;Севастополь, р-н Гагаринский, ул. Летчиков, 6На карте;58,5 м;;;;4 из 4;;;1 кв. 2019;;;;;;;;8 678 688 ; ;+7 869 277-74-96;Продается 2-комнатная квартира, в сданном доме, общей площадью 58.50 кв.м., на 4 этаже.;;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/245034863/
232854987;;Новостройка;Севастополь, р-н Гагаринский, мкр. Камышовая бухта, ул. Павла КорчагинаНа карте;88,17 м;50,3 м;14 м;;1 из 9;;;2 кв. 2021;;;;;;;;10 227 720 ; ;+7 869 277-72-11;"Продается 3-комнатная квартира, в строящемся доме (корпус 2), срок сдачи: II-кв. 2021, общей площадью 88.17 кв.м., на 1 этаже. Легенда"" - это современный жилой комплекс, расположенный на берегу бухты Омега в Гагаринском районе Севастополя. 200 метров до моря, район с развитой инфраструктурой. В составе комплекса: 8 жилых корпусов класса Comfort+, парковое благоустройство территории вокруг комплекса и авторский ландшафтный дизайн внутреннего пространства. Чтобы освободить двор от машин, прямо под ним организован двухуровневый подземный паркинг на 250 автомобилей.";;;2 балкона;;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/232854987/
221465220;;Новостройка;Севастополь, р-н Гагаринский, мкр. Летчики, просп. Октябрьской Революции, 48На карте;62,1 м;17,3 м;13,7 м;;2 из 10;;;1 кв. 2019;;;;;;;;6 600 000 ; ;+7 869 277-72-63;"Продается 2-комнатная квартира, в сданном доме, общей площадью 62.10 кв.м., на 2 этаже. ""ЖК-Летчик"" - жилой комплекс из 2 монолитно-каркасных жилых многоквартирных домов в самом комфортабельном для жизни и досуга районе Севастополя. Привлекательность проекту добавляет его удобное расположение в курортном районе города! Две остановки на общественном транспорте  и Вы уже в Парке Победы  одном из любимейших мест отдыха жителей и гостей города. Здесь есть благоустроенные пляжи, кафе, бары, аттракционы и в т. ч. аквапарк ""Зурбаган"".

Застройщик успешно построил и сдал в эксплуатацию уже более 20 объектов по всему Крымскому полуострову, в том числе 7 объектов в городе Севастополь.

Благоустройство жилого дворика. Здесь организована хорошо оснащенная детская площадка, зеленая зона отдыха, клумбы и просторная парковка для автомобилей.

В каждой квартире есть:
турбированный газовый котел;
разводки отопления и электропроводки;
счетчики услуг ЖКХ;
финишная шпатлевка;
окна из металлопластика;
входная металлическая дверь.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/221465220/
221465206;;Новостройка;Севастополь, р-н Гагаринский, мкр. Летчики, просп. Октябрьской Революции, 48На карте;62,4 м;17,3 м;13,7 м;;2 из 10;;;1 кв. 2019;;;;;;;;6 800 000 ; ;+7 869 277-72-63;"Продается 2-комнатная квартира, в сданном доме, общей площадью 62.40 кв.м., на 2 этаже. ""ЖК-Летчик"" - жилой комплекс из 2 монолитно-каркасных жилых многоквартирных домов в самом комфортабельном для жизни и досуга районе Севастополя. Привлекательность проекту добавляет его удобное расположение в курортном районе города! Две остановки на общественном транспорте  и Вы уже в Парке Победы  одном из любимейших мест отдыха жителей и гостей города. Здесь есть благоустроенные пляжи, кафе, бары, аттракционы и в т. ч. аквапарк ""Зурбаган"".

Застройщик успешно построил и сдал в эксплуатацию уже более 20 объектов по всему Крымскому полуострову, в том числе 7 объектов в городе Севастополь.

Благоустройство жилого дворика. Здесь организована хорошо оснащенная детская площадка, зеленая зона отдыха, клумбы и просторная парковка для автомобилей.

В каждой квартире есть:
турбированный газовый котел;
разводки отопления и электропроводки;
счетчики услуг ЖКХ;
финишная шпатлевка;
окна из металлопластика;
входная металлическая дверь.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/221465206/
239742859;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 7На карте;113,9 м;42 м;19,9 м;;2 из 11;;;4 кв. 2018;;;;;;;;23 600 878 ; ;+7 365 288-86-29;Продается 3-комнатная квартира, в сданном доме (Корпус 1), общей площадью 113.90 кв.м., на 2 этаже.;;;2 балкона;;1 совмещенный, 1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/239742859/
232090740;;Новостройка;Севастополь, р-н Гагаринский, ул. Военных Строителей, 12/1На карте;66,81 м;;;;3 из 3;;;2 кв. 2021;;;;;;;;9 425 594 ; ;+7 869 288-86-57;"Продается 2-комнатная квартира, в строящемся доме (Дом 8 ""Фрегат""), срок сдачи: II-кв. 2021, общей площадью 66.81 кв.м., на 3 этаже.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/232090740/
239742944;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 7На карте;59,3 м;18,4 м;20,2 м;;3 из 11;;;4 кв. 2018;;;;;;;;11 218 908 ; ;+7 365 288-86-29;Продается 2-комнатная квартира, в сданном доме (Корпус 1), общей площадью 59.30 кв.м., на 3 этаже.;;;1 балкон;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/239742944/
233568650;;Вторичка;Севастополь, р-н Ленинский, ул. Василия Кучера, 13На карте;41,7 м;25,4 м;5 м;Изолированная;1 из 2;Кирпичный;1917;;Нет;1;Центральное;Центральное;Деревянные;;;6 450 000 ;4 570 000 ;+7 978 736-21-42;Центр города, продам 2х.комн.квартиру ул. В.Кучера общ.41,7/25,4/5, СП, Кондиционер, первый высокий /2эт.дома, сделан ремонт. Парк, пляж, поликлиника, школа, детсад, кинотеатр, тц_в шаговой доступности. КЛЮЧИ!!!;Дизайнерский;;;На улицу;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/233568650/
250201204;;Вторичка;Севастополь, р-н Нахимовский, мкр. Победа, просп. Победы, 72На карте;62 м;47,6 м;6 м;Смежно-изолированная;3 из 5;Блочный;1972;;Нет;4;Центральное;Центральное;Железобетонные;;;5 700 000 ;5 820 000 ;+7 978 736-21-42;Продам трехкомнатную квартиру общ.62/48/6 середина дома, окна квартиры на две стороны комнаты смежно-изолированные, СП, Эл/бойлер, встроенная мебель, техника входит в стоимость. Район с развитой инфраструктурой: Остановка, школа, детсад, тц, рынок, поликлиника_в шаговой доступности. Ипотека, материнский капитал!!!;Косметический;;1 балкон;Во двор;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/250201204/
249765446;;Вторичка;Севастополь, р-н Ленинский, мкр. Остряки, просп. Генерала Острякова, 250На карте;43 м;16 м;11 м;;1 из 10;;2013;;Нет;2;Котел/Квартирное отопление;Центральное;Железобетонные;;;6 000 000 ;4 930 000 ;+7 978 750-58-34;Отличная однокомнатная квартира с автономным отоплением,отличное состояние,встроенная кухня.Картира расположена в районе с отличной транспортной развязкой,рядом супермаркет.школы.садики.Документы российского образца.Торг!!!;Косметический;;1 лоджия;На улицу;1 совмещенный;;;;;Есть;Есть;https://sevastopol.cian.ru/sale/flat/249765446/
250031051;;Вторичка;Севастополь, р-н Ленинский, ул. Льва Толстого, 17АНа карте;40 м;27 м;5,5 м;Смежная;2 из 3;Кирпичный;1960;;Нет;2;Центральное;Центральное;Железобетонные;;Наземная;7 200 000 ;4 770 000 ;+7 978 736-21-42;Продам Шикарную 2х комнатную квартиру  Л.Толстого 17а =Сталинка=  центр города, общ.40/27/5,5, Газ/колонка, 2/3эт.дома, середина, встроенная мебель, техника входит в стоимость. Школа, детсад, тц, рынок, пляж, парк_в  шаговой доступности. Документы РФ!;Евроремонт;;1 балкон;Во двор;1 совмещенный;;;;2,9 м;;;https://sevastopol.cian.ru/sale/flat/250031051/
239743352;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 7На карте;42,1 м;26 м;;;10 из 11;;;4 кв. 2018;;;;;;;;10 999 089 ; ;+7 365 288-86-29;Продается студия, в сданном доме (Корпус 1), общей площадью 42.10 кв.м., на 10 этаже.;;;1 балкон;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/239743352/
239742998;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 7На карте;78,2 м;19,2 м;37,2 м;;5 из 11;;;4 кв. 2018;;;;;;;;15 146 832 ; ;+7 365 288-86-29;Продается 2-комнатная квартира, в сданном доме (Корпус 1), общей площадью 78.20 кв.м., на 5 этаже.;;;1 балкон;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/239742998/
239742703;;Новостройка;Севастополь, р-н Балаклавский, Севастопольская зона ЮБК квартал, 14Вс2На карте;46,3 м;32 м;;;6 из 9;;;4 кв. 2016;;;;;;;;8 765 666 ; ;+7 365 277-74-63;Продается студия, в сданном доме (Корпус 14В), общей площадью 46.30 кв.м., на 6 этаже.;;;1 балкон;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/239742703/
221465073;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 12На карте;94,1 м;48 м;12,4 м;;1 из 16;;;4 кв. 2016;;;;;;;;11 500 000 ; ;+7 869 277-72-39;"Продается 3-комнатная квартира, в сданном доме, общей площадью 94.10 кв.м., на 1 этаже. В непосредственной близости от комплекса расположен Парк Победы - живописный зеленый массив, с фонтанами и цветниками, где Вы можете спокойно отдохнуть под тенью раскидистых кленов и встретить среди крон деревьев почти ручных белок.

Каждая квартира будет оснащена:
- турбированным двухконтурным газовым котлом;
- разводкой отопления  радиаторами;
- разводкой электропроводки;
- водомером, газовым и электрическим счетчиками;
- цементно-песчаной стяжкой полов;
- финишной шпатлевкой;
- металлопластиковыми окнами;
- металлической входной дверью.

Для размещения личного транспорта в комплексе запроектирован подземный паркинг.";;;2 лоджии;;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/221465073/
232855005;;Новостройка;Севастополь, р-н Гагаринский, мкр. Камышовая бухта, ул. Павла КорчагинаНа карте;66,36 м;36,6 м;13,9 м;;8 из 8;;;2 кв. 2021;;;;;;;;7 896 840 ; ;+7 869 277-72-11;"Продается 2-комнатная квартира, в строящемся доме (корпус 1), срок сдачи: II-кв. 2021, общей площадью 66.36 кв.м., на 8 этаже. Легенда"" - это современный жилой комплекс, расположенный на берегу бухты Омега в Гагаринском районе Севастополя. 200 метров до моря, район с развитой инфраструктурой. В составе комплекса: 8 жилых корпусов класса Comfort+, парковое благоустройство территории вокруг комплекса и авторский ландшафтный дизайн внутреннего пространства. Чтобы освободить двор от машин, прямо под ним организован двухуровневый подземный паркинг на 250 автомобилей.";;;1 балкон;;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/232855005/
249977390;;Новостройка;Севастополь, р-н Ленинский, ул. Токарева, 18ГНа карте;64,5 м;;;;2 из 8;;;2 кв. 2021;;;;;;;;6 385 500 ; ;+7 869 277-73-24;"РАССРОЧКА ДО 25 ИЮНЯ 2021 ГОДА! ЖК ""ДОБРОГОРОД""ЖК ""Доброгород"" - крупнейший в Севастополе семейный микрорайон с современными домами, выполненными по специально разработанному дизайну и цветовой гамме, что создает неповторимую уютную атмосферу. Отличительная особенность квартала - безопасная и продуманная организация общественной территории, реализованная с помощью ""умных"" опций: видеонаблюдения, видеодомофонов, освещения с датчиками движения, контроля доступа в дом.НАДЕЖНОСТЬЖилой комплекс возводится по технологии монолитного строительства. В основе домов  жесткий железобетонный каркас.КОМФОРТВентилируемые фасады обеспечивают оптимальную температуру в квартирах и зимой, и летом. Вместительные паркинги вынесены за пределы дворов. Для детей и взрослых предусмотрены игровые и спортивные площадки, прогулочные и зеленые зоны.ПЛАНИРОВКИВ ЖК ""Доброгород"" доступен широкий выбор планировок  от компактных студий до просторных трехкомнатных квартир.РАСПОЛОЖЕНИЕВ шаговой доступности находятся торговые центры, школы, детский сад и поликлиника. Всего в нескольких километрах  исторический центр Севастополя, парки и пляжи.БЕЗОПАСНОСТЬВпервые в Севастополе внедряется целый комплекс ""умных"" технологий: видеонаблюдение по периметру, освещение с датчиками движения, видеодомофоны, обратная связь на смартфон.ПЕРВЫЕ ДВА ЭТАПА УЖЕ СДАНЫ.Сдача 4 и 5 этапов: 2 квартал 2021 г.Студия



Двухкомнатная квартира



Трёхкомнатная квартира




Этап 4.
Powered by Ivideon 

Этап 5.
Powered by Ivideon";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/249977390/
249171763;;Вторичка;Севастополь, р-н Нахимовский, мкр. Хрулева, ул. Хрулева, 28На карте;89 м;57 м;7 м;;2 из 2;;1954;;Нет;;;;;;;7 000 000 ;7 490 000 ;+7 978 983-98-31;"РЕДКОЕ ПРЕДЛОЖЕНИЕ на рынке недвижимости Севастополя!Для тех, кто устал от многоквартирных ""муравейников"" и мечтает о тишине и покое, при этом недалеко от центра города. Продается большая атмосферная ВИДОВАЯ 3х-комнатная квартира с уникальной планировкой в историческом месте города. Просторный холл-прихожая 14 кв.м, огромная светлая гостиная в форме пятиугольника, ТРИ балкона с видом на бухту, есть собственное паркоместо. В шаговой доступности известные достопримечательности Севастополя - Малахов Курган, парк и пляж ""Ушакова балка"".Отлично развитая инфраструктура, всё необходимое рядом - торговый центр, продуктовые магазины и рынок, школы, детские сады и площадки, аптеки, поликлиника, отделения банков, остановка общественного транспорта. Удобная транспортная развязка для выезда в любой район города и за его пределы. Дом сейсмоустойчивый, построенный на совесть, со стенами толщиной 0,5 м. Новая кровля, по плану капитальная облицовка фасада здания в январе 2021 года. Для тех, кто планирует увеличить свою жилплощадь с 1- или 2х-комнатной квартиры, рассмотрим вариант обмена. Записывайтесь на оперативный показ прямо сейчас, потрясающие морские виды из окна новой квартиры вас уже ждут) Лот 27410";Без ремонта;;;;;;;;3 м;;;https://sevastopol.cian.ru/sale/flat/249171763/
250104376;;Новостройка;Севастополь, р-н Гагаринский, мкр. Камышовая бухта, ул. Павла КорчагинаНа карте;48,3 м;;;;7 из 8;;;2 кв. 2022;;;;;;;;6 158 250 ; ;+7 869 277-72-11;"Продается 1-комнатная квартира, в строящемся доме (корпус 7), срок сдачи: II-кв. 2022, общей площадью 48.30 кв.м., на 7 этаже. Легенда"" - это современный жилой комплекс, расположенный на берегу бухты Омега в Гагаринском районе Севастополя. 200 метров до моря, район с развитой инфраструктурой. В составе комплекса: 8 жилых корпусов класса Comfort+, парковое благоустройство территории вокруг комплекса и авторский ландшафтный дизайн внутреннего пространства. Чтобы освободить двор от машин, прямо под ним организован двухуровневый подземный паркинг на 250 автомобилей.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/250104376/
221465153;;Новостройка;Севастополь, р-н Гагаринский, мкр. Летчики, просп. Октябрьской Революции, 48На карте;102,3 м;60,9 м;16,8 м;;2 из 10;;;1 кв. 2019;;;;;;;;10 500 000 ; ;+7 869 277-72-63;"Продается 3-комнатная квартира, в сданном доме, общей площадью 102.30 кв.м., на 2 этаже. ""ЖК-Летчик"" - жилой комплекс из 2 монолитно-каркасных жилых многоквартирных домов в самом комфортабельном для жизни и досуга районе Севастополя. Привлекательность проекту добавляет его удобное расположение в курортном районе города! Две остановки на общественном транспорте  и Вы уже в Парке Победы  одном из любимейших мест отдыха жителей и гостей города. Здесь есть благоустроенные пляжи, кафе, бары, аттракционы и в т. ч. аквапарк ""Зурбаган"".

Застройщик успешно построил и сдал в эксплуатацию уже более 20 объектов по всему Крымскому полуострову, в том числе 7 объектов в городе Севастополь.

Благоустройство жилого дворика. Здесь организована хорошо оснащенная детская площадка, зеленая зона отдыха, клумбы и просторная парковка для автомобилей.

В каждой квартире есть:
турбированный газовый котел;
разводки отопления и электропроводки;
счетчики услуг ЖКХ;
финишная шпатлевка;
окна из металлопластика;
входная металлическая дверь.";;;1 лоджия;;;;;;;;;https://sevastopol.cian.ru/sale/flat/221465153/
237815123;;Вторичка;Севастополь, р-н Нахимовский, мкр. Радиогорка, ул. Громова, 64На карте;66,3 м;39 м;7,5 м;Изолированная;9 из 9;Панельный;1983;;Нет;4;Центральное;;Железобетонные;;;4 780 000 ;6 800 000 ;+7 978 736-21-42;"Продам 3х.комнатную квартиру ВИД НА МОРЕ!!! общ.66,3/39/7.5, две лоджии, окна квартиры на две стороны, комнаты изолированные, Эл/Бойлер, 9/9этдома тех.этаж. В шаговой доступности Пляж "" Толстяк ""Учкуевка"", остановка, школа, детсад, рынок, тц, поликлиника. До катера 5 минут пешком. Документы РФ!";Косметический;;2 лоджии;Во двор;1 раздельный;;;;;4 всего;Есть;https://sevastopol.cian.ru/sale/flat/237815123/
