название;ссылка;цена;адрес;описание
3-к квартира, 70м, 5/5 эт.;https://krym.cian.ru/sale/flat/249526212/;5 700 000 ;Республика КрымЯлтаулица Крупской38к2;Продаётся трёхкомнатная квартира под ремонт, тип: Грузинка, все комнаты раздельные. Дом находится в тихом спальном районе, рядом есть остановка и вся инфраструктура (аптека, супермаркеты, детский сад, фитнесс зал, отделение Wildberries, детские площадки, находящиеся под видеонаблюдением и тд.)Один собственник, в квартире прописанных нет. Все документы готовы к сделке.Если возникли вопросы, звоните или пишите, с радостью ответим!
Студия, 20 м, 2/4 этаж;https://krym.cian.ru/sale/flat/249449781/;1 900 000 ;Республика КрымЯлтаулица Богдановича8;"Продам студию  в малосемейке, на 2/4 панельного дома, сделан свежий качественный ремонт оборудована кухня в студии. Так же к  квартире относиться общая кухня, санузел на 3 студии и личная душевая комната.
Рядом с домом продовольственный магазин, спортивная и детская площадка, остановка транспорта, До центра города 20 минут ходьбы спокойным шагом."
1-комн. кв., 30 м, 2/2 этаж;https://krym.cian.ru/sale/flat/227843701/;2 600 000 ;Республика КрымЯлтаулица Кирова143;Продам уютную однушку в красивом, историческом месте Ялты. Рядом с домом- музеем А.П. Чехова. Экологически чистый материал стен - ракушка. Раздельный сае узел, интернет, кондиционер. Мебель по договоренности можно оставить! Рядом магазин, парк, фитнес клуб, школа! Хороший вариант для сдачи в аренду и для постоянного проживания!
1-комн. кв., 22 м, 1/5 этаж;https://krym.cian.ru/sale/flat/224534606/;2 650 000 ;Республика КрымЯлтаулица Найденова31;Продам хорошую однакомнатную квартиру. Полностью укомплектована. Мебель, кондиционер, интернет, сан техника итд. Подойдет как для круглогодичного проживания так и для сдачи в аренду.  Рядом школа, магазины, спорт клуб, парк и остановка м.т.
2-комн. кв., 38 м, 1/1 этаж;https://krym.cian.ru/sale/flat/244048837/;2 800 000 ;Республика КрымЯлтапереулок Музейный5;Продам квартиру в историческом месте Ялты! Квартира требует ремонта. Все коммуникации есть: электричество, центральное водоснабжение, центральное отопление, канализация. Отличное географическое положение! Рядом школа, детский сад и магазины! До набережной и приморского пляжа - 10 минут ходьбы прогулочным шагом. Тихий и зелёный двор!  Квартира отлично подойдёт для сдачи в аренду!
2-комн. кв., 45 м, 1/7 этаж;https://krym.cian.ru/sale/flat/226349618/;3 900 000 ;Республика КрымЯлтаулица Нагорная16;Продам квартиру со стильной планировкой в новом голландском доме. Под квартиру есть свой предлагаемый дизайн - проект. Либо же можно сделать чистовую отделку под ваш вкус.  По всей площади квартиры настелен тёплый пол.  Все поверхности ( полы, стены) - под маяк. Жк находится в очень выгодном расположении к центру. Рядом рынки, магазины, школа, автовокзал. До набережной и пляжа - 10 мин ходьбы!
1-комн. кв., 32 м, 1/6 этаж;https://krym.cian.ru/sale/flat/249152878/;4 300 000 ;Республика КрымЯлтаулица Кирова134;Предлагается к покупке  с хорошим ремонтом 1 комнатная   квартира на первом этаже с удобным отдельным входам.  Квартира с хорошим ремонтом, находиться в одном из лучших спальных районов города Ялта, с очень развитой инфраструктурой. Отличная транспортная развязка рядом ТК Конфетти, в шаговой доступности школа и садик. В квартире центральное отопление всегда тепло зимой и прохладно летом. Небольшой торг уместен. Документы РФ!
2-комн. кв., 39 м, 3/3 этаж;https://krym.cian.ru/sale/flat/224534611/;5 000 000 ;Республика КрымЯлтаулица Ломоносова5;Продам квартиру по ул. Ломоносова. На 3 этаже - 3 этажного кирпичного дома. Удобная планировка. Газ, интернет, кондиционер. Рядом магазин ПУД, Пушкинский рынок, остановка Спартак. До приморского пляжа 10 минут ходьбы. До Пушкинской аллеи и набережной - 5 минут. Отлично подходит как для сдачи в аренду, дак и для круглогодичного проживания! Торгуюсь!
1-комн. кв., 26,5 м, 3/5 этаж;https://krym.cian.ru/sale/flat/249993423/;3 500 000 ;Республика КрымЯлтаулица Свердлова87;"Арт. 44978206 Продаётся 1 комнатная квартира на ул. Свердлова. Общая площадь 26.5 кв.м площадь комнаты 19.1 кв.м., совмещенный санузел. По периметру квартиры проходит лоджия, она остеклена и утеплена , площадь лоджии около 12 кв.м. С лоджией квартира площадью 38,5 кв.м. Квартира расположена на 3 этаже 5 этажного   дома. В квартире выполнен ремонт. Полностью заменены все окна и выполнен ремонт и утепление фасада.  На полу уложен ламинат, кондиционер, новый санузел. Отопление центральное, горячая вода от бойлера электрического, газа в доме нет, электроплита. Осталось заменить кухонный гарнитур. У квартиры хороший вид на горы.
Подъезд чистый, недавно выполнен косметический ремонт.
Дом расположен в районе с развитой инфраструктурой. Рядом школа и детский садик, остановка общественного транспорта , магазины."
1-комн. кв., 27 м, 6/9 этаж;https://krym.cian.ru/sale/flat/248590150/;3 600 000 ;Республика КрымЯлтаулица Блюхера40;Арт. 44709635 СРОЧНАЯ ПРОДАЖА! Продам 1 комнатную квартиру с хорошим ремонтом в Ялте по улице Блюхера 40. Ремонт делался год назад.  Квартира расположена в монолитном доме  на 6 этаже 9 этажного дома. По фасаду квартира утеплена.В квартире остается большая часть мебель и техники. В доме центральное отопление,  газа нет, электричество по сниженному тарифу. Вид на горы  и город. В доме  3 действующих лифта, магазины. Рядом с домом детская площадка, остановка. До улица Пионерская 7 минут пешком, до Спартака 10-15 минут.Продажа за наличные.Реальному покупателю-скидка.
Своб. планировка, 34,75 м, 7/11 этаж;https://krym.cian.ru/sale/flat/240654441/;5 733 750 ;Республика КрымЯлтаулица Руданского23;"Продам квартиру в одной из современных новостроек Ялты Чайка . В шаговой доступности автовокзал, рынки, море, набережная и вся инфраструктура. Прекрасное соотношение цены и качества жилья,с использованием новейших строительных технологий,позволят вам сразу почувствовать себя комфортно. 
Свободная планировка и прекрасный предчистовой ремонт, дадут вам быстро осуществить свою мечту и превратить ваш новострой в уютное гнёздышко. Квартира светлая,с прекрасными видами. 
Звоните , мы организуем показ."
2-комн. кв., 57,5 м, 3/9 этаж;https://krym.cian.ru/sale/flat/240943033/;5 800 000 ;Республика КрымЯлтаулица Тимирязева29;Продается просторная 2х комнатная квартира в Ялте, в хорошем районе, с прекрасным видом из окон. Она состоит из двух жилых комнат, видовой лоджии и балкона, большой кухни, раздельного санузла и коридора. Планировка и площадь квартиры подходят для комфортного проживания большой семьи. Квартира требует ремонта. Утеплен фасад. Реальному покупателю небольшой торг. Оперативный показ. Звоните, буду рада ответить на ваши вопросы.
Студия, 30 м, 2/3 этаж;https://krym.cian.ru/sale/flat/239316946/;3 500 000 ;Республика КрымЯлтаулица Кедровая23А;"СРОЧНАЯ ПРОДАЖА!!!
	Продается квартира-студия 30 м2 + 10м2 балкон с видом на горы в ЖК Дворец Аутка 
	Клубный Дом в г. Ялта, расположен рядом заповедной зоной, в элитном районе, в окружении вилл и частных домовладений.
	Экологичное место, тишина и покой!!!
	Дом введен в эксплуатацию и заселен. 
	Коммуникации, интернет, тв, домофон заведены в квартиру. 
	Право собственности, прописка, городские тарифы.+0,3 сотых земли по закону договора купли-продажи!!
	В квартире 3-энергосберегающих WDS окна.Отделана влагостойкими гибсокартонными панелями.
	Высота потолков 4,2 метра, есть возможность надстройки 2-го этажа (спальни).
	Современный Клубный Дом, расположен в тихом и респектабельном районе Ялты в 5 минутах езды от центра и объектах инфраструктуры, ТРЦ Конфетти,продуктовый рынок Бакалея,несколько супермаркетов и многочисленные магазины. Автобусная остановка в 500-х метрах, удобная транспортная развязка и выезд на Южнобережное шоссе.
	У дома оборудована бесплатная парковка. за домом зона барбекю с видом на море.
	В 100-метрах от дома Ялтинский горно-лесной заповедник."
3-комн. кв., 82 м, 8/9 этаж;https://krym.cian.ru/sale/flat/193718706/;3 500 000 ;Республика КрымЯлташоссе Южнобережное;"Большая площадь квартиры в Ялте с оформленным правом собственности РФ полностью готовая к сделке с хорошим расположением и отличным транспортным обеспечением. Продается только за наличные, ипотека исключена.
На формирование цены повлиял следующий фактор. Квартира находится на восьмом этаже 9-этажного дома, лифт в доме не работает уже много лет. Этот вопрос еще требует решения, по российскому законодательству любой многоквартирный дом выше 5 этажей должен быть оборудован действующим лифтом. Трехкомнатная квартира в спальном районе Ялты по самой низкой цене квадратного метра!

Состояние квартиры: под отделку, стены - оштукатуренный ракушняк, металлопластиковые окна, сантехники нет, двери временные, пол без стяжки.

Панорамный вид на горы, боковой на Ялтинскую бухту. У квартиры есть дополнительный тамбур на несколько квартир, отделенный от лестничной клетки дверью.

Отличное транспортное обеспечение района, добраться до центра Ялты можно на нескольких маршрутах общественного транспорта, остановка находится прямо рядом с домом. Рядом есть все необходимое для жизни (магазинчики и пр.)

Под домом большая асфальтированная площадка, на которой паркуют свои автомобили жильцы этого дома. Цена продажи  3.500.000 рублей."
1-комн. кв., 42,57 м, 8/13 этаж;https://krym.cian.ru/sale/flat/247340164/;4 900 000 ;Республика КрымЯлтаулица Красноармейская36Б;Продается 1-комнатная квартира, в строящемся доме, срок сдачи: II-кв. 2022, общей площадью 42.57 кв.м., на 8 этаже.
Квартира с котлом в центре Ялты;https://krym.cian.ru/sale/flat/244986549/;5 400 000 ;Республика КрымЯлтаулица Чехова;Продам 2-х комнатную квартиру в центре Ялты, по ул.Чехова. 2эт/2д. Общая площадь 30 кв.м. Комнаты: 11,1 + 9,3 кв.м., две застекленных веранды: 5,4 + 4,3 кв.м., на одной из которых сделана кухня.  Состояние хорошее жилое, позволяющее жить или сдавать. Большим плюсом квартиры является наличие своего отопления (газовый двухконтурный котел). Окна выходят на обе стороны дома. Имеется сарай, вписанный в тех.паспорт. Цена: 5 400 000 руб.
1-комн. кв., 25 м, 2/2 этаж;https://krym.cian.ru/sale/flat/249631776/;5 500 000 ;Республика КрымЯлтаулица Екатерининская4;"Предлагается к продаже 1-комнатная квартира студия в историческом центре Ялты на ул. Екатериненская. Квартира расположена в втором этаже двухэтажного дома.
Общая площадь квартиры 25 кв.м. В квартире оборудованный санузел (раковина, унитаз, душевая кабина), есть небольшая кухня.
Хороший, свежий ремонт. Установлен кондиционер, вся мебель и техника остается при продаже новому собственнику.
К квартире еще относится помещение в цокольном этаже общей площадью 12 кв.м., которое так же приносит ежемесячно прибыль.
Благодаря великолепному месторасположению квартира отлично сдается круглый год. До Набережной 50 метров, до ближайшего пляжа 150 метров, в пешей доступности магазины, кафе, аптека, театр им.А.П.Чехова, концертный зал Юбилейный."
Студия, 33,98 м, 9/11 этаж;https://krym.cian.ru/sale/flat/240702286/;5 946 500 ;Республика КрымЯлтаулица Руданского21А;"Продаётся квартира-студия в центре Ялты в ""ЖК Чайка"". Дом сдан в эксплуатацию. Проведены все коммуникации. В доме имеется два лифта (грузовой и пассажирский), просторный холл и консьерж. Автономная крышная котельная.

""ЖК Чайка"" расположен в уютном тихом районе, в 7 минутах ходьбы от набережной и Массандровского пляжа и в 5 минутах ходьбы расположен овощной и вещевой рынки. Хорошая инфраструктура района, рядом есть садики и школы. Так же по соседству расположен единственный в городе медицинский центр ""Времена года"" с высококвалифицированными врачами.

Возможна ИПОТЕКА."
2-комн. кв., 39 м, 3/3 этаж;https://krym.cian.ru/sale/flat/224534611/;5 000 000 ;Республика КрымЯлтаулица Ломоносова5;Продам квартиру по ул. Ломоносова. На 3 этаже - 3 этажного кирпичного дома. Удобная планировка. Газ, интернет, кондиционер. Рядом магазин ПУД, Пушкинский рынок, остановка Спартак. До приморского пляжа 10 минут ходьбы. До Пушкинской аллеи и набережной - 5 минут. Отлично подходит как для сдачи в аренду, дак и для круглогодичного проживания! Торгуюсь!
2-комн. кв., 43 м, 1/5 этаж;https://krym.cian.ru/sale/flat/230701781/;3 500 000 ;Республика КрымЯлта городской округГаспра пгтулица Парусная9;Продам 2 комнатную квартиру в ПГТ Гаспра. Находится на 1 этаже 5 этажного панельного дома. Тихое место. Очень удобное положение! Рядом начальная школа, магазины, кафе. Памятники старины и культуры! Остановка в шаговой доступности! Реальному покупателю - торг!
1-комн. кв., 32 м, 1/6 этаж;https://krym.cian.ru/sale/flat/249152878/;4 300 000 ;Республика КрымЯлтаулица Кирова134;Предлагается к покупке  с хорошим ремонтом 1 комнатная   квартира на первом этаже с удобным отдельным входам.  Квартира с хорошим ремонтом, находиться в одном из лучших спальных районов города Ялта, с очень развитой инфраструктурой. Отличная транспортная развязка рядом ТК Конфетти, в шаговой доступности школа и садик. В квартире центральное отопление всегда тепло зимой и прохладно летом. Небольшой торг уместен. Документы РФ!
1-комн. кв., 31 м, 4/5 этаж;https://krym.cian.ru/sale/flat/249533526/;2 999 999 ;Республика КрымЯлта городской округФорос пгт;Предлагается к продаже 1 к кв в самом центре поселка Форос.  Самый чистый воздух и кристально чистое море. Райское место для здоровья. Шикарный вид. Все рядом ( магазины, рынок, парк и море). Документы российские. 1 владелец . Кристально чистые документы. Прямая продажа!!! Продажа за наличный расчет. Звоните в любое время.
1-комн. кв., 27 м, 6/9 этаж;https://krym.cian.ru/sale/flat/248590150/;3 600 000 ;Республика КрымЯлтаулица Блюхера40;Арт. 44709635 СРОЧНАЯ ПРОДАЖА! Продам 1 комнатную квартиру с хорошим ремонтом в Ялте по улице Блюхера 40. Ремонт делался год назад.  Квартира расположена в монолитном доме  на 6 этаже 9 этажного дома. По фасаду квартира утеплена.В квартире остается большая часть мебель и техники. В доме центральное отопление,  газа нет, электричество по сниженному тарифу. Вид на горы  и город. В доме  3 действующих лифта, магазины. Рядом с домом детская площадка, остановка. До улица Пионерская 7 минут пешком, до Спартака 10-15 минут.Продажа за наличные.Реальному покупателю-скидка.
1-комн. кв., 26,5 м, 3/5 этаж;https://krym.cian.ru/sale/flat/249993423/;3 500 000 ;Республика КрымЯлтаулица Свердлова87;"Арт. 44978206 Продаётся 1 комнатная квартира на ул. Свердлова. Общая площадь 26.5 кв.м площадь комнаты 19.1 кв.м., совмещенный санузел. По периметру квартиры проходит лоджия, она остеклена и утеплена , площадь лоджии около 12 кв.м. С лоджией квартира площадью 38,5 кв.м. Квартира расположена на 3 этаже 5 этажного   дома. В квартире выполнен ремонт. Полностью заменены все окна и выполнен ремонт и утепление фасада.  На полу уложен ламинат, кондиционер, новый санузел. Отопление центральное, горячая вода от бойлера электрического, газа в доме нет, электроплита. Осталось заменить кухонный гарнитур. У квартиры хороший вид на горы.
Подъезд чистый, недавно выполнен косметический ремонт.
Дом расположен в районе с развитой инфраструктурой. Рядом школа и детский садик, остановка общественного транспорта , магазины."
2-комн. кв., 57,5 м, 3/9 этаж;https://krym.cian.ru/sale/flat/240943033/;5 800 000 ;Республика КрымЯлтаулица Тимирязева29;Продается просторная 2х комнатная квартира в Ялте, в хорошем районе, с прекрасным видом из окон. Она состоит из двух жилых комнат, видовой лоджии и балкона, большой кухни, раздельного санузла и коридора. Планировка и площадь квартиры подходят для комфортного проживания большой семьи. Квартира требует ремонта. Утеплен фасад. Реальному покупателю небольшой торг. Оперативный показ. Звоните, буду рада ответить на ваши вопросы.
1-комн. кв., 48,4 м, 7/14 этаж;https://krym.cian.ru/sale/flat/245275881/;4 100 000 ;Республика КрымЯлта городской округМассандра пгтшоссе Южнобережное1А;Арт. 43840885  Продаётся 1 комнатная квартира, Расположенная в г. Ялта, пгт Массандра , ул. ЮБШ. Общая площадь квартиры 48,4 кв.м площадь комнаты 23.9 кв.м. , кухня 10 кв.м. , просторный коридор 7,4 кв.м и совмещенный санузел 7,1 кв. м. Квартира расположена на 7 этаже 14 этажного нового монолитного дома. На данный момент квартира выглядит как студия, но можно сделать отдельно кухню и комнату. Квартира без внутренней отделки . Заведена в квартиру вода, канализация , электричество ( дом с электро плитой ), отопление от котельной на крыше , сделана разводка и установлены радиаторы. У дома хороший подъезд с объездной дороги, приличное соседство, подземный паркинг . У квартиры есть балкон площадью 5,9 кв.м., площадь с балконом 54,3 кв.м. Из окна и балкона квартиры открывается красивый вид на горы и частную застройку. Около дома большая придомовая территория, есть где поставить машину. Документы готовы к сделке. цена экв 54 000 долл США.
Своб. планировка, 34,75 м, 7/11 этаж;https://krym.cian.ru/sale/flat/240654441/;5 733 750 ;Республика КрымЯлтаулица Руданского23;"Продам квартиру в одной из современных новостроек Ялты Чайка . В шаговой доступности автовокзал, рынки, море, набережная и вся инфраструктура. Прекрасное соотношение цены и качества жилья,с использованием новейших строительных технологий,позволят вам сразу почувствовать себя комфортно. 
Свободная планировка и прекрасный предчистовой ремонт, дадут вам быстро осуществить свою мечту и превратить ваш новострой в уютное гнёздышко. Квартира светлая,с прекрасными видами. 
Звоните , мы организуем показ."
2-комн. кв., 43 м, 3/4 этаж;https://krym.cian.ru/sale/flat/239388558/;3 400 000 ;Республика КрымАлушта городской округПартенит пгтулица Солнечная4;"Дом построен из инкерманского камня - долговечного строительного материала. Подъезд закрыт, в хорошем ухоженном состоянии. Улица Солнечная  центральная улица поселка, которая ведет к карте пляжей, ровная местность, нижняя часть поселка.

Рядом находится автовокзал, супермаркет Яблоко, аптека, парикмахерская, продуктовый рынок, банк РНКБ и банк Россия. Район тихий, соседи хорошие!

Общая площадь квартиры - 43,9 кв.м. + балкон  2,9 кв.м.

Планировка квартиры включает:

- две изолированные спальные комнаты площадью 16,9 кв.м. (с выходом на балкон) и 12,3 кв.м.;

- кухню  6,7 кв.м.;

- совмещённый санузел  3 кв.м.;

- прихожую - 4,1 кв.м.;

- балкон  2,9 кв.м.

Перепланировок в квартире не было.

В квартире установлена газовая печь (газовый баллон), свет и вода  централизованные, проведен интернет. В санузле установлен бойлер. Продажа осуществляется с мебелью и техникой. Состояние квартиры  под косметический ремонт. Собственник один. Документы оформлены согласно законодательству РФ - сведения внесены в Единый реестр прав. Звоните, организуем показ!"
Студия, 30 м, 2/3 этаж;https://krym.cian.ru/sale/flat/239316946/;3 500 000 ;Республика КрымЯлтаулица Кедровая23А;"СРОЧНАЯ ПРОДАЖА!!!
	Продается квартира-студия 30 м2 + 10м2 балкон с видом на горы в ЖК Дворец Аутка 
	Клубный Дом в г. Ялта, расположен рядом заповедной зоной, в элитном районе, в окружении вилл и частных домовладений.
	Экологичное место, тишина и покой!!!
	Дом введен в эксплуатацию и заселен. 
	Коммуникации, интернет, тв, домофон заведены в квартиру. 
	Право собственности, прописка, городские тарифы.+0,3 сотых земли по закону договора купли-продажи!!
	В квартире 3-энергосберегающих WDS окна.Отделана влагостойкими гибсокартонными панелями.
	Высота потолков 4,2 метра, есть возможность надстройки 2-го этажа (спальни).
	Современный Клубный Дом, расположен в тихом и респектабельном районе Ялты в 5 минутах езды от центра и объектах инфраструктуры, ТРЦ Конфетти,продуктовый рынок Бакалея,несколько супермаркетов и многочисленные магазины. Автобусная остановка в 500-х метрах, удобная транспортная развязка и выезд на Южнобережное шоссе.
	У дома оборудована бесплатная парковка. за домом зона барбекю с видом на море.
	В 100-метрах от дома Ялтинский горно-лесной заповедник."
3-комн. кв., 82 м, 8/9 этаж;https://krym.cian.ru/sale/flat/193718706/;3 500 000 ;Республика КрымЯлташоссе Южнобережное;"Большая площадь квартиры в Ялте с оформленным правом собственности РФ полностью готовая к сделке с хорошим расположением и отличным транспортным обеспечением. Продается только за наличные, ипотека исключена.
На формирование цены повлиял следующий фактор. Квартира находится на восьмом этаже 9-этажного дома, лифт в доме не работает уже много лет. Этот вопрос еще требует решения, по российскому законодательству любой многоквартирный дом выше 5 этажей должен быть оборудован действующим лифтом. Трехкомнатная квартира в спальном районе Ялты по самой низкой цене квадратного метра!

Состояние квартиры: под отделку, стены - оштукатуренный ракушняк, металлопластиковые окна, сантехники нет, двери временные, пол без стяжки.

Панорамный вид на горы, боковой на Ялтинскую бухту. У квартиры есть дополнительный тамбур на несколько квартир, отделенный от лестничной клетки дверью.

Отличное транспортное обеспечение района, добраться до центра Ялты можно на нескольких маршрутах общественного транспорта, остановка находится прямо рядом с домом. Рядом есть все необходимое для жизни (магазинчики и пр.)

Под домом большая асфальтированная площадка, на которой паркуют свои автомобили жильцы этого дома. Цена продажи  3.500.000 рублей."
