название;ссылка;цена;адрес;описание
2-комн. кв., 72 м, 4/10 этаж;https://krym.cian.ru/sale/flat/249447364/;14 700 000 ;Республика КрымЯлтаулица Свердлова48Ак6;"Продается просторная квартира с новым ремонтом в современном доме Эгоист

Квартира площадью 72 кв.м, расположена на 4-ом этаже (фактически 6-й) 10-ти этажного дома.

Квартира состоит из:
       изолированной спальни;
     гостиной (24 кв.м);
       кухни (15,5 кв.м);
       гардеробной комнаты;
        совмещенного санузла с ванной.

В квартире выполнен качественный ремонт из дорогостоящих материалов по дизайн-проекту, установлен газовый котел для индивидуального отопления и вся необходимая техника ведущих производителей. С квартиры открывается прекрасный вид на горы.

Дом введен в эксплуатацию и заселен на 80%, консьерж и закрытый охраняемый паркинг. Паркинг можно приобрести за отдельную плату.

Удачное расположение позволяет добраться до центра и набережной всего за 15 мин пешим шагом, либо 5 минут на авто. В 300 м  выезд на Южнобережное шоссе."
1-комн. апарт., 52,5 м, 2/9 этаж;https://krym.cian.ru/sale/flat/244956832/;15 181 020 ;Республика КрымЯлтанабережная Имени В.И. Ленина13;"Предлагаем к продаже апартаменты в одном из лучших комплексов- Президент Отель  Таврида.

Апартаменты расположены на 2м этаже, в центральной части комплекса. Апартаменты с новым ремонтом. Выполнена качественная отделка в классическом стиле, встроена техника, установлена новая мебель. Высокие потолки подчеркивают изысканность и стиль данных апартаментов. С небольшого балкона открывается вид на город.

Президент отель- Таврида  это один из атмосферных комплексов Ялты расположенный в центральной части, в 50 метрах от набережной и в 100 метрах от моря. Такое расположение комплекса позволит Вам наслаждаться утренними и вечерними прогулками по набережной Ялты.

В 2005 г. отель Таврида был отреставрирован, сохранив при этом исторический стиль здания гостиницы.

Фасад гостиницы украшен чудесными колоннами, роскошными просторными террасами и верандами. Шикарные венецианские дворики с фонтанами, прозрачный свод кровли, мраморные лестницы, подчеркнутые кованым ограждением, в сочетании с уникальными скульптурами  всё это вызывает чувства восторга от увиденного. Великолепное расположение, более 20 интересных мест в шаговой доступности."
3-комн. кв., 88,9 м, 7/8 этаж;https://krym.cian.ru/sale/flat/237600738/;14 224 000 ;Республика КрымЯлтаулица Войкова20;Продается 3-комнатная квартира, в сданном доме (Корпус 1), общей площадью 88.90 кв.м., на 7 этаже.
2-комн. апарт., 52,8 м, 8/10 этаж;https://krym.cian.ru/sale/flat/247658166/;14 203 200 ;Республика КрымЯлтаулица Дражинского48В;Продаются 2-комнатные апартаменты, в сданном доме (Дом 48В), общей площадью 52.80 кв.м., на 8 этаже.
2-комн. кв., 72 м, 9/10 этаж;https://krym.cian.ru/sale/flat/249361656/;15 750 000 ;Республика КрымЯлтаулица Свердлова48;"Просторная квартира с новым ремонтом в современном доме Эгоист

Квартира площадью 72 м2, расположена на 9-ом этаже 10-ти этажного дома. В квартире выполнен качественный ремонт из дорогостоящих материалов по дизайн-проекту, установлен газовый котел для индивидуального отопления  и вся необходимая техника ведущих производителей Германии , Италии. В квартире в какой комнате установлен кондиционер, теплый пол. С квартиры открывается прекрасный вид на горы и Ялту.

Квартира состоит из:
                       изолированной спальни (15,5 м2);

            гостиной с кухонной зоной (43 м2);

            коридор (9,8 м2);

            гардеробной комнаты (3,4 м2);

            совмещенного санузла с ванной (5,4 м2)

Дом введен в эксплуатацию и заселен на 80%, консьерж и закрытый охраняемый паркинг. Обслуживание в месяц 23 рубля за м2 плюс расходы по счетчикам.

Паркинг можно приобрести за отдельную плату. Удачное расположение позволяет добраться до центра и Набережной всего за 15 мин пешим шагом, либо 5 мин на авто. В 300 м  выезд на Южнобережное шоссе"
Видовая 2ккв в Ялте 150 м.от моря;https://krym.cian.ru/sale/flat/243596727/;12 800 000 ;Республика КрымЯлтаулица Средне-Слободская;"Продается 2 к.квартира в Ялте возле моря. До благоустроенного массандровского пляж всего 150 метров!!!  
Общая площадь квартиры: 86 кв.м. Квартира под отделку. Расположена на 3-м этаже шестиэтажного дома. Состоит из двух больших спален, кухни, коридора и одного санузла. Из больших панорамных окон открывается великолепный вид на море. Квартира имеет идеальное расположение для постоянного проживания или отдыха. При желании можно купить крытый паркинг на одну машину. Очень перспективное место!"
3-комн. кв., 92,7 м, 4/4 этаж;https://krym.cian.ru/sale/flat/242303553/;15 500 000 ;Республика КрымЯлтаулица Руданского;"Продаётся евро  3х комнатная квартира в центральной части Ялты.

Дом спец.проект, расположен на ул.Руданского. Вторая линия от ул.Московская.

Общая площадь квартиры: 92,7 кв.м.

Квартира в средине дома, подъезд чистый, на кодовом замке.

Капитальный ремонт делался 1,5 года назад, с полной заменой абсолютно всех материалов на новые и современные.

Прихожая: 6,9 кв.м., сан.узел (совмещенный, душевая на два человека): 5 кв.м., гардеробная: 2,4 кв.м., кухня объединённая с гостиной: 20,4 кв.м., спальня 1: 17,4 кв.м. с выходом на террасу с зоной барбеккю: 6,7 кв.м., спальня 2: 17,1 кв.м. с застекленным балконом: 4,5 кв.м.

Квартира оборудована мебелью и встроенной техникой.

Отопление от котельной, на горячую воду  газовая колонка.

Вся планировка внесена в документы. Собственник гр.РФ.

Квартира выходит на две стороны: восток и запад.

С одной стороны вид на парковую часть, с другой на горы, Ялту и море.

Цена: 15,5 млн руб."
Большая квартира на ул. Войкова;https://krym.cian.ru/sale/flat/248189587/;14 000 000 ;Республика КрымЯлтаулица Войкова;"Продается уютная, четырехкомнатная квартира в старинном доме по ул. Войкова. 
До центра, Набережной пешком 5 минут.  Рядом школа.   Квартира расположена на 3-м этаже,старинного дома в историческом районе Ялты.
Комнаты 23.4 кв.м.,23.1 кв.м.,9.6 кв.м.,7.3 кв.м. Кухня 8.6 кв.м. В квартире два раздельных санузла. Есть небольшой балкон.
Из трех комнат вида на море. Потолки 3.5. метра. Толстые стены. Есть два узаконенных сарая.
Квартира в очень хорошем, жилом состоянии. Ремонт не требуется."
Апартамент возле моря в Ялте;https://krym.cian.ru/sale/flat/247299548/;12 750 000 ;Республика КрымЯлтаулица Рузвельта;"Продаётся апартамент в жилом комплексе бизнес-класса. Апартамент общей площадью 69 кв.м. находится на 4-м этаже 9-ти этажного дома. В апартаменте высокие потолки 3,4 метра и свободная планировка. Расположение комплекса в центре города обеспечивает будущих жильцов доступностью к инфраструктуре города. В 100 метрах находится благоустроенный Массандровский пляж. Новый жилой комплекс оснащён современным оборудованием: 
установлены системы кондиционирования и вентиляции;
собственная газовая котельная Wessex фирмы Hamworth Heating Ltd (Великобритания), которая гарантирует бесперебойное снабжение квартир теплом и постоянное наличие горячей воды;
Пассажирские лифты фирмы OTIS со спуском в подземную парковку;
В каждом апартаменте кабельное телевидение, возможность подключения телефонного номера и выделенная линия Internet;
установлены охранные системы;  алюминиевые оконные системы гарантируют прекрасную шумоизоляцию и теплоизоляцию;  на мансардном этаже предусмотрен бассейн с зоной отдыха."
Ваша супервидовая квартира в Ялте;https://krym.cian.ru/sale/flat/248318299/;10 637 000 ;Республика КрымЯлтаулица Свердлова;"Супер-видовая квартира в современном жилом комплексе, в Ялте.
Общая площадь: 107,45 кв.м.
Просторная и удобная планировка квартиры легко планируется в две раздельные спальни и кухню-столовую. 
В данный момент внутренняя планировка представлена: кухней-столовой 51,65 кв.м., отдельный спальней 15,1 кв.м., совмещённым сан.узлом 7 кв.м., гардеробной 5,2 кв.м.,  открытой лоджией 27,8 кв.м.(которую при Вашем желании можно застеклить).
Квартира подготовлена под отделку, предусмотрено газовое индивидуальное отопление (двухконтурный газовый котел).
Благодаря расположению квартиры из каждого окна - великолепный прямой вид на море и горы. 
Цена: 10 637 000 руб.

Возле жилого дома есть всё, что необходимо жителю современного города для комфортной жизни и отдыха:
- Дом выгодно расположен в благоустроенном спальном, тихом, чистом районе. Это Ваш удачный выбор для современной жизни. 
- В нескольких минутах ходьбы расположены: детский сад, общеобразовательная школа  11, продуктовый магазин, почтовое отделение, теннисный корт.
- Вам будет удобно добираться в любую часть города как на маршрутном такси, так как автобусная остановка находится возле дома, так и на личном транспорте.
- К дому ведут удобные подъездные пути легко попасть в центр города и выехать на трассу без пробок.

Вы наверняка согласитесь, что хороший дом должен быть уютным не только внутри. 
- Для жильцов, у которых есть автомобиль, в доме построен крытый двухэтажный паркинг и гостевая стоянка.
- Дом украшают цветущие газоны, чистый подъезд.
- Работают два лифта (грузовой и пассажирский), круглосуточная охрана."
Апартамент в новом доме в Ялте;https://krym.cian.ru/sale/flat/247305851/;12 600 000 ;Республика КрымЯлтаулица Рузвельта;"Продаётся апартамент общей площадью 65 кв.м. в новом жилом комплексе в центре города.  Апартамент находится на 6-м этаже 9-ти этажного  дома. Из окон апартаментов открывается прекрасный вид на море и горы. В пешей доступности Массандровский пляж и Ялтинская набережная, а также вся инфраструктура города. Дом монолитно-каркасный построен с использованием современных качественных материалов и норм. В жилом комплексе сделано всё для комфорта будущих жильцов:  
алюминиевые оконные системы гарантируют прекрасную шумоизоляцию и теплоизоляцию;
установлены системы кондиционирования и вентиляции;
собственная газовая котельная Wessex фирмы Hamworth Heating Ltd (Великобритания), которая гарантирует бесперебойное снабжение квартир теплом и постоянное наличие горячей воды;
пассажирские лифты фирмы OTIS со спуском в подземную парковку;
в каждом апартаменте кабельное телевидение, возможность подключения телефонного номера и выделенная линия Internet;
установлены охранные системы."
Апартамент 82.8м2 с видом на море;https://krym.cian.ru/sale/flat/247291773/;15 000 000 ;Республика КрымЯлтаулица Рузвельта;"Продаётся апартамент в новом жилом комплексе, в 150 метрах от моря. Апартамент общей площадью 82,8 кв.м. находится на 6-м этаже 9-ти этажного жилого комплекса. Из окон и с открытого балкона открывается красивый, прямой вид на море и Ялтинскую набережную. Апартамент свободной планировки,  позволяющей воплотить любой дизайнерский проект. Жилой комплекс расположен в историческом центре города, вблизи от Массандровского пляжа и доступностью к инфраструктуре города.  Фасад здания, напольное покрытие холла 1-го этажа и стены отделаны натуральным камнем.
Современные оконные системы гарантируют прекрасную шумоизоляцию и теплоизоляцию.
Установлены системы кондиционирования и вентиляции
Собственная газовая котельная  гарантирует бесперебойное снабжение квартир теплом и постоянное наличие горячей воды.
Пассажирские лифты фирмы OTIS со спуском в подземную парковку.
В каждом апартаменте кабельное телевидение, возможность подключения телефонного номера и выделенная линия Internet.
Установлены охранные системы. На мансардном этаже для жильцов комплекса предусмотрена лаунж-зона с бассейном и шезлонгами."
3-х комнатная квартира в новом ЖК;https://krym.cian.ru/sale/flat/248267730/;12 616 000 ;Республика КрымЯлтаулица Свердлова;"Продам 3-х комнатную квартиру в современном жилом доме, в Ялте.
Общая площадь: 143.8 м.кв. Комнаты: 27.1 м.кв + 19.4 м.кв + 18.9 м.кв, кухня столовая 21 м.кв, сан.узел 3.8 м.кв + ванная 7.4 мкв., прихожая 21 м.кв, открытый балкон 17,1 м.кв, + 7,8 м.кв.
Квартира с под чистовую отделку, с индивидуальным отоплением (двухконтурный газовый котел), с видом на море и горы.
В доме качественная шумоизоляция, толщина межквартирных стен 30 см, два лифта, грузовой и пассажирский.
Дом - монолитный каркас, сейсмоустойчивость площадки 9 баллов.
Имеется закрытый двухуровневый паркинг в цокольном этаже.
Возможность покупки или временной аренды, на ваш выбор.
В шаговой доступности магазины, остановка городского транспорта, школа, детский сад, Мордвиновский и Массандровский парки.
До пляжа и набережной 20 минут пешим шагом.
Быстрый и удобный выезд на трассу Ялта-Симферополь-Севастополь.
Стоимость этой замечательной квартиры: 12 616 000 руб."
2-комн. кв., 97 м, 3/14 этаж;https://krym.cian.ru/sale/flat/244991094/;12 490 943 ;Республика КрымЯлтаулица Московская31;"В продаже 2х комнатная квартира в новом жилом доме в центре Ялты, по ул.Московская.
Общая площадь квартиры 96,8 м.кв.
Расположена на 3-м этаже 14-ти этажного дома.
В квартире 2 раздельные спальные комнаты и кухня , из всех комнат выход на застекленную просторную лоджию площадью 24 м.кв. Санузел раздельный.
Квартира под чистовую отделку, стены оштукатурены, сделана разводка радиаторов отопления, на полу сделана стяжка. 
Все коммуникации : электричество, водоснабжение, канализация  - введены в квартиру. 
Домофон , интернет, датчики пожарной сигнализации.
 Установлены счетчики на воду и электричество.
Высота потолков 3.2 м.
Работают 2 лифта.
В доме находится консьерж.
Обслуживающая компания, цена обслуживания 45 Р. за м2.
Дом отапливается от  собственной газовой котельной.
Из окон квартиры открывается вид на море, горы и Ялту.
Дом имеет удобное месторасположение: до центральной набережной и моря пешком 10 минут, вблизи находится центральный рынок, аптеки, магазины, школа, детсад, стадион. Автовокзал в 5 минутах езды.
Цена данной квартиры эквивалентна  164 560  у.е.  ( 1700 за м.кв.)
Документы образца РФ готовы к продаже."
2-комн. апарт., 57,7 м, 11/18 этаж;https://krym.cian.ru/sale/flat/237436944/;12 717 080 ;Республика КрымЯлтаПриморский парк имени Гагарина кв-л9;"Продаются 2-комнатные апартаменты, в сданном доме, общей площадью 57.70 кв.м., на 11 этаже. Современное многоэтажное здание комплекса включает в себя апартаменты, центр красоты и тренажерный зал, подземный паркинг, ресепшн, сервис-бюро, лобби-бар и кафе.
Множество идей, реализованных в проекте - это наше стремление создать новое качество жизни, использование современных технологических разработок; тщательная работа над проектом, благодаря которой, преимуществом комплекса ""Зазеркалье"", кроме месторасположения, действительно стали комфорт и благополучие. Например, балконы, шириной 2.4 метра, на которых есть возможность расположить шезлонги или летнюю мебель в соответствии с Вашими предпочтениями. Звукоизоляция от внешнего шума для того, чтобы ничто не мешало спокойному сну и отдыху.
Дополнительные помещения в зоне парковки для хранения вещей и инвентаря. Сервисная служба комплекса всегда готова организовать трансфер, экскурсии, предоставить информацию о событиях и развлечения в городе, забронировать билеты на самолет или в театр, пригласить няню, горничную, а также оказать ряд других услуг, которые помогут Вам распоряжаться своим свободным временем, не отвлекаясь на решение организационных вопросов.
Детский клуб в фойе обеспечит досуг детей разного возраста увлекательными, творческими занятиями. Вкуснейшие блюда, которыми вы наслаждаетесь в нашем уютном кафе, также доставят, по предварительному заказу, к Вам в апартаменты. Изысканность современных дизайнерских решений, уникальные ландшафтные и климатические условия, дополнительный сервис гарантируют Вам наслаждение беззаботной жизнью у моря с максимальным комфортом."
